"serial_no","province","district","agro_eco_r","climatic_z","agro_eco_z","terrain","major_soil","anual_r_fmm","gps_location","x","y","season","rice_variety","date_of_maturity","age_das","stage_of_maturity","prediction_on_suseptibility_of_rice_variety","soil_type","rice_ecosystem","irrigation","topography","flooded_y_n","method_of_planting","is_the_farmer_aware_of_mg_before","terrain_adj","infection_status","total_gall_count","infected_plant_count","total_plants","Disease_Incidence","Disease_Severity"
35,"Western","Kalutara","WL1b","WET ZONE","LOW COUNTRY","Rolling & Undulating","Red Yellow Podzolic & Low Humic Gley Soils",2800,"6.5260378, 80.0628297",80.0628297,6.5260378,"Maha","Bg 369","104",75,"Reproductive","Unconfirmed","Clay","Rainfed lowland","Rainfed","Flat land","No","Direct seeded","Yes","Rolling & Undulating","Yes",74,23,30,76.6666666666667,2.46666666666667
36,"Southern","Galle","WL1a","WET ZONE","LOW COUNTRY","Rolling, undulating & hilly","Red Yellow Podzolic, Red Yellow Podzolic with semi prominent A1 horizon & Low Humic Gley soils",3200,"6.2829588, 80.1538558",80.1538558,6.2829588,"Maha","At 362","110",90,"Reproductive","Suseptible","Clay","Irrigated","Minor irrigation","Flat land","No","Direct seeded","Yes","Rolling, undulating & hilly","No",18,10,30,33.3333333333333,0.6
37,"Southern","Galle","WL1a","WET ZONE","LOW COUNTRY","Rolling, undulating & hilly","Red Yellow Podzolic, Red Yellow Podzolic with semi prominent A1 horizon & Low Humic Gley soils",3200,"6.2969053, 80.1718165",80.1718165,6.2969053,"Maha","At 362","110",60,"Reproductive","Suseptible","Sand mixed clay","Rainfed lowland","Rainfed","Flat land","No","Direct seeded","No","Rolling, undulating & hilly","Yes",39,19,30,63.3333333333333,1.3
38,"North Western","Kurunegala","IL1a","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat","RYP, soilswith strongly molted sub-soil, RYP,LHG,RBL & Regosol",1400,"7.4794100, 80.0439980",80.043998,7.47941,"Maha","Bg 358","105",90,"Reproductive","Unconfirmed","Sand mixed clay","Rainfed lowland","Rainfed","Flat land","No","Direct seeded","No","Rolling, Undulating, Flat","Yes",146,16,30,53.3333333333333,4.86666666666667
39.1,"Nothern","Vavuniya","DL1b","DRY ZONE","LOW COUNTRY","Undulating","Reddish Brown Earth & Low Humic Gley Soils",900,"8.6731260, 80.3898640",80.389864,8.673126,"Maha","Bg 300","93",60,"Reproductive","Unconfirmed",NA,"Irrigated","Minor irrigation","Flat land","No","Direct seeded","Yes","Undulating","No",0,0,30,0,0
39.2,"Nothern","Vavuniya","DL1b","DRY ZONE","LOW COUNTRY","Undulating","Reddish Brown Earth & Low Humic Gley Soils",900,"8.6731260, 80.3898640",80.389864,8.673126,"Maha","Bg 360","106",60,"Reproductive","Suseptible",NA,"Irrigated","Minor irrigation","Flat land","No","Direct seeded","Yes","Undulating","No",0,0,30,0,0
40,"Central","Matale","DL1b","DRY ZONE","LOW COUNTRY","Undulating","Reddish Brown Earth & Low Humic Gley Soils",900,"7.8669827, 80.6503263",80.6503263,7.8669827,"Maha","Bg 352","102",45,"Vegetative","Suseptible","Sand mixed clay","Irrigated","Minor irrigation","Flat land","Yes","Direct seeded","No","Undulating","No",29,11,30,36.6666666666667,0.966666666666667
44,"Southern","Hambantota","IL1b","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat","RYP, RBL, RBE, LHG & Regosol soils",1100,"5.9889260, 80.7191397",80.7191397,5.988926,"Maha","At 362","110",66,"Reproductive","Suseptible","Clay","Irrigated","Minor irrigation","Flat land","No","Direct seeded","Yes","Rolling, Undulating, Flat","Yes",258,30,30,100,8.6
48,"Western","Gampaha","WL3","WET ZONE","LOW COUNTRY","Rolling & Undulating","Red Yellow Podzolic soils with soft and hard laterite, LHG & Regosol soils",1700,"7.0271960, 79.9890870",79.989087,7.027196,"Maha","Bg 41",NA,NA,NA,NA,"Clay","Rainfed lowland","Rainfed","Flat land","No","Direct seeded","No","Rolling & Undulating","Yes",336,20,30,66.6666666666667,11.2
49,"Western","Gampaha","WL3","WET ZONE","LOW COUNTRY","Rolling & Undulating","Red Yellow Podzolic soils with soft and hard laterite, LHG & Regosol soils",1700,"7.0420120, 79.9971190",79.997119,7.042012,"Maha","Bg 304","89",89,"Ripening","Unconfirmed","Clay","Rainfed lowland","Rainfed","Flat land","No","Direct seeded","Yes","Rolling & Undulating","No",4,2,30,6.66666666666667,0.133333333333333
50,"Western","Gampaha","WL3","WET ZONE","LOW COUNTRY","Rolling & Undulating","Red Yellow Podzolic soils with soft and hard laterite, LHG & Regosol soils",1700,"7.0160442, 79.9724432",79.9724432,7.0160442,"Maha","Bg 366","100",100,"Ripening","Suseptible","Clay","Rainfed lowland","Rainfed","Flat land","No","Direct seeded","No","Rolling & Undulating","No",36,15,30,50,1.2
51,"North Central","Anuradhapura","DL1b","DRY ZONE","LOW COUNTRY","Undulating","Reddish Brown Earth & Low Humic Gley Soils",900,"8.1687027, 80.5419694",80.5419694,8.1687027,"Maha","Bg 300","93",93,"Ripening","Unconfirmed","Sand mixed clay","Irrigated","Major irrigation","Flat land","No","Direct seeded","No","Undulating","Yes",186,26,30,86.6666666666667,6.2
52,"North Western","Puttlam","DL1b","DRY ZONE","LOW COUNTRY","Undulating","Reddish Brown Earth & Low Humic Gley Soils",900,"7.8750342, 79.9918246",79.9918246,7.8750342,"Maha","Bg 374","108",108,"Ripening","Unconfirmed","Sand mixed clay","Rainfed lowland","Rainfed","Flat land","No","Direct seeded","No","Undulating","No",0,0,30,0,0
76,"Southern","Matara","IL1a","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat","RYP, soilswith strongly molted sub-soil, RYP,LHG,RBL & Regosol",1400,"6.0068420, 80.5174440",80.517444,6.006842,"Maha / Yala","At 362","110",14,"Seedling","Suseptible","Clay","Rainfed lowland","Rainfed","Flat land","Yes","Direct seeded","No","Rolling, Undulating, Flat","No",18,5,30,16.6666666666667,0.6
77,"Central","Kandy","WM2b","WET ZONE","MID COUNTRY","Steeply dissected, hilly & rolling","Reddish Brown Latosolic (RBL), Immature Brown Loam(IBL), Low Humic Gley & Red Yellow Podzolic soils",1800,"7.280167, 80.591194",7.280167,80.591194,"Maha/Yala","Bg 374","105",45,"Vegetative","Suseptible","Sand mixed clay","Rainfed Midland","Rainfed","Flat land","Yes","Replanting","Yes","Other","No",121,3,30,10,4.03333333333333
83,"Southern","Hambantota","DL5","DRY ZONE","LOW COUNTRY","Undulating & flat","RBE with high ammount od grawel in sub- soil, LHG & Solodized - solonets soils",650,"6.2304000, 81.2275150",81.227515,6.2304,"Maha / Yala","At 362","110",95,"Reproductive","Suseptible","Clay","Irrigated","Major irrigation","Flat land","No","Direct seeded","No","Undulating & flat","Yes",318,28,30,93.3333333333333,10.6
